neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
2,17,1.311,103.77639,1,3.555348061,90,5,2.079441542,364,0.10982359
2,42,1.311,103.77932,1,3.218875825,90,9,2.079441542,364,-0.226870102
1,1,1.32889,103.908,1,4.382026635,14,97,0,364,-0.39486204
0,29,1.29211,103.836,2,5.991464547,4,6,0,0,-0.075312219
0,39,1.3305,103.8424,1,3.80666249,90,30,0,146,-0.487360536
0,38,1.30768,103.82017,1,4.65396035,6,57,0,89,0.339575299
0,15,1.30774,103.86332,1,3.713572067,18,8,4.852030264,365,-2.662207089
0,15,1.30844,103.85875,1,4.343805422,6,29,0,90,-0.757841979
0,22,1.32359,103.8498,1,3.36729583,108,0,0,365,-0.286568242
0,15,1.31118,103.87367,2,4.86753445,14,0,0,365,-1.356699808
0,23,1.30341,103.83365,2,5.707110265,2,16,3.737669618,357,-1.778028348
0,4,1.28419,103.82765,1,4.094344562,183,0,0,365,-1.459630086
0,24,1.2841,103.84253,1,4.204692619,90,3,4.852030264,356,-2.267472643
0,19,1.30494,103.90306,1,5.105945474,2,27,1.609437912,90,0.495262634
3,0,1.39088,103.85303,1,5.375278408,1,0,0,365,0.301507787
4,3,1.34126,103.75992,1,4.406719247,14,0,0,333,0.361490012
0,22,1.33917,103.82306,1,4.48863637,2,90,0.693147181,342,0.039902705
0,30,1.30292,103.858,1,4.48863637,1,2,1.945910149,25,-0.986040298
0,24,1.28405,103.84424,3,3.912023005,1,150,1.609437912,281,-2.517099015
0,24,1.28405,103.84424,4,5.707110265,1,2,1.609437912,286,-2.517099015
0,24,1.28405,103.84424,4,3.912023005,1,93,1.609437912,290,-2.517099015
0,24,1.28466,103.84255,1,4.043051268,90,0,4.564348191,345,-2.274910856
0,20,1.29947,103.84661,2,5.442417711,14,16,0,282,-2.514615128
0,24,1.2841,103.84253,1,4.007333185,18,3,4.852030264,348,-2.267472643
0,24,1.28328,103.84532,1,6.684611728,1,3,1.609437912,0,-1.664998773
2,31,1.311,103.81538,1,6.309918278,180,1,0,365,-0.645776454
0,21,1.30626,103.83994,1,4.442651256,3,12,2.995732274,334,-0.399863355
0,15,1.31909,103.85741,1,3.526360525,180,1,0,364,-0.741709832
0,11,1.31435,103.88617,2,5.192956851,60,21,0,266,-0.840907673
4,8,1.38717,103.74256,1,4.094344562,183,0,0.693147181,365,-1.26024057
1,37,1.34566,103.95994,1,4.510859507,1,10,2.079441542,365,-0.766545018
0,38,1.31742,103.82572,4,5.068904202,7,28,2.995732274,365,-1.222437149
1,1,1.31993,103.92342,1,4.48863637,2,0,0.693147181,365,-0.157298426
1,37,1.34574,103.95945,1,5.564520407,1,6,2.079441542,359,-0.703739793
3,0,1.36724,103.84722,1,3.80666249,21,0,0,0,-0.928557108
0,11,1.31539,103.88257,1,3.688879454,18,1,4.852030264,332,-2.113942936
1,1,1.31944,103.91529,1,4.219507705,90,3,1.098612289,173,-1.149696814
1,1,1.32249,103.92316,1,4.779123493,90,2,1.098612289,173,-0.255722462
0,10,1.27539,103.84491,1,4.852030264,4,77,1.386294361,0,-1.808724857
0,29,1.29726,103.84263,1,5.402677382,90,0,0,0,-0.874112029
0,39,1.3377,103.88248,2,4.941642423,5,2,0.693147181,0,-0.440791713
1,1,1.32111,103.92206,1,4.219507705,90,5,1.098612289,173,-0.067662685
1,1,1.31963,103.924,1,4.553876892,3,0,0.693147181,365,-0.199404796
0,10,1.27365,103.84354,2,5.480638923,5,8,0,0,-0.893303337
0,22,1.32359,103.85063,1,5.888877958,30,2,1.098612289,174,-0.18179411
4,8,1.38768,103.74476,2,4.762173935,10,0,0.693147181,285,-1.346878306
0,22,1.32347,103.85213,1,5.940171253,5,11,1.098612289,181,-0.016824443
0,29,1.29815,103.83895,2,4.941642423,1,107,3.871201011,365,-1.453610928
0,29,1.29549,103.83931,2,4.941642423,2,113,3.871201011,365,-0.638463395
4,8,1.38686,103.74468,1,4.158883083,4,29,0.693147181,25,-1.776098586
0,24,1.28153,103.84808,2,5.521460918,3,172,0,25,-2.436645325
0,15,1.3152,103.85926,4,4.584967479,1,11,2.302585093,356,-0.807143359
0,22,1.31642,103.8398,2,4.48863637,2,7,0,0,-0.962755846
1,1,1.32122,103.91492,2,4.941642423,2,366,0,226,-1.502483138
0,22,1.32423,103.85293,1,5.634789603,3,21,1.098612289,181,0.092333741
0,29,1.29488,103.83973,1,4.465908119,1,110,3.871201011,365,-0.551220821
4,8,1.38602,103.74316,1,3.465735903,3,60,0.693147181,0,-1.878760347
3,12,1.36867,103.89905,1,3.912023005,4,12,0.693147181,351,-0.224877637
2,42,1.311,103.77626,1,3.36729583,183,5,0,365,-0.058484376
0,34,1.29041,103.83482,2,5.010635294,365,0,0,365,-0.014843705
0,24,1.28448,103.8436,1,4.48863637,1,333,1.098612289,343,-3.743698696
0,15,1.3117,103.86028,1,5.891644212,1,25,2.995732274,361,-0.993175413
0,29,1.29462,103.83855,2,5.298317367,2,146,3.871201011,362,-0.467820861
0,15,1.29907,103.87601,1,4.043051268,7,52,0,0,-0.859055946
0,15,1.3117,103.86028,1,5.533389489,1,2,2.995732274,362,-0.993175413
0,15,1.3117,103.86028,1,5.713732806,1,55,2.995732274,359,-0.993175413
0,15,1.3117,103.86028,1,4.007333185,2,36,2.995732274,365,-0.993175413
0,15,1.3117,103.86028,1,4.912654886,1,56,2.995732274,365,-0.993175413
0,15,1.3117,103.86028,1,4.007333185,2,7,2.995732274,365,-0.993175413
0,15,1.3117,103.86028,1,6.214608098,1,16,2.995732274,362,-0.993175413
0,6,1.33746,103.78052,2,4.787491743,2,3,0,69,-0.873562686
0,20,1.2942,103.84283,2,4.682131227,3,43,0.693147181,357,-1.375078281
0,24,1.283,103.84399,1,4.48863637,1,137,1.098612289,362,-1.814066741
0,24,1.28409,103.84514,1,4.189654742,1,21,1.098612289,47,-2.244421001
4,13,1.33667,103.73748,1,4.094344562,90,26,0,358,-0.410093049
0,30,1.30343,103.85799,1,4.779123493,2,2,0.693147181,365,-1.034946466
0,15,1.31117,103.86214,1,3.583518938,28,1,4.564348191,362,-1.232019345
0,28,1.30699,103.80159,3,4.248495242,1,0,0,365,-0.475669585
1,1,1.32823,103.94835,1,3.988984047,4,33,2.197224577,87,-1.370290442
0,29,1.29519,103.84185,2,5.010635294,14,7,0,0,-0.898586038
0,11,1.31566,103.8859,2,4.48863637,5,58,4.304065093,57,-1.063102415
0,11,1.31531,103.88561,2,4.543294782,1,50,4.304065093,0,-1.118211162
0,29,1.29645,103.83972,2,5.298317367,1,98,3.871201011,364,-0.850053215
0,29,1.29648,103.83877,2,4.65396035,1,241,3.871201011,344,-0.869065306
0,28,1.2805,103.78439,1,4.219507705,90,12,3.80666249,365,-1.010277668
0,23,1.30021,103.84288,1,4.248495242,90,0,0.693147181,364,-1.219955818
0,15,1.31047,103.86096,3,3.555348061,1,19,1.098612289,1,-0.911922553
3,12,1.36103,103.88356,1,4.430816799,1,9,0,364,-1.657166129
0,20,1.2986,103.84659,1,4.700480366,90,6,0.693147181,209,-3.042938478
0,39,1.33967,103.86901,2,5.634789603,60,6,0,328,-1.574905489
0,4,1.27811,103.83379,2,5.521460918,7,4,0,0,-0.401791048
0,15,1.29575,103.86549,2,5.616771098,3,0,0,0,-0.713213711
0,29,1.29792,103.83781,4,4.820281566,2,100,3.871201011,365,-1.222469705
0,11,1.31601,103.88579,2,4.521788577,4,69,4.304065093,82,-1.121542133
0,15,1.31239,103.85201,2,5.707110265,2,3,0,0,-1.424620488
0,15,1.3152,103.85926,4,4.927253685,1,32,2.302585093,360,-0.807143359
0,15,1.3152,103.85926,4,3.80666249,1,5,2.302585093,303,-0.807143359
0,15,1.3152,103.85926,4,4.094344562,1,2,2.302585093,346,-0.807143359
0,11,1.31393,103.88749,2,4.442651256,30,70,4.304065093,1,-0.541890917
0,15,1.31086,103.85883,3,3.583518938,1,18,1.098612289,1,-0.608244533
0,15,1.30997,103.86052,1,5.010635294,1,0,1.098612289,1,-0.951616528
0,24,1.28362,103.84552,2,4.86753445,2,70,2.397895273,365,-1.75650746
1,37,1.34714,103.96002,1,4.672828834,1,11,0,361,-0.48152918
0,24,1.28378,103.8431,2,4.836281907,90,1,0,178,-2.609851736
0,24,1.28216,103.84714,1,5.298317367,90,17,0,84,-2.041829057
0,34,1.28845,103.84355,1,4.553876892,10,2,0,178,-1.096132528
0,11,1.31562,103.88586,2,4.442651256,5,47,4.304065093,83,-1.072343004
0,29,1.29508,103.84085,2,5.192956851,5,2,0,0,-0.729798098
1,37,1.34948,103.96321,1,4.382026635,90,10,0,362,-0.129449215
0,4,1.28667,103.82935,1,4.382026635,1,0,0,0,-1.329908187
1,25,1.36449,103.95931,1,4.382026635,180,0,0,365,0.055187912
0,11,1.31228,103.89521,2,5.298317367,30,22,5.111987788,327,-0.41130182
0,19,1.30287,103.9005,2,5.521460918,4,0,0,0,0.373668996
0,29,1.29499,103.83852,2,5.38907173,2,171,3.871201011,304,-0.534461786
3,0,1.37664,103.85238,1,5.398162702,1,0,0,0,-0.216219031
0,29,1.29783,103.83936,2,4.927253685,1,203,3.871201011,337,-1.307167186
3,33,1.3736,103.87644,1,4.043051268,2,130,0,300,0.568991564
0,24,1.28318,103.84335,4,3.36729583,1,140,2.564949357,361,-2.034905838
0,24,1.28458,103.84298,4,3.36729583,1,80,2.564949357,225,-2.898286958
0,34,1.28955,103.83861,2,5.327876169,2,18,0,0,-0.337168037
0,21,1.31122,103.84108,2,5.187385806,7,0,0,0,-1.006797353
0,11,1.31704,103.88847,2,4.553876892,10,46,4.304065093,0,-0.88361179
0,24,1.28496,103.84318,4,3.36729583,1,192,2.564949357,225,-2.634723821
0,24,1.28439,103.84308,4,3.36729583,1,177,2.564949357,225,-3.258291927
0,24,1.28424,103.84275,1,4.094344562,90,2,4.852030264,303,-2.574538356
0,11,1.31492,103.88801,2,4.48863637,7,42,4.304065093,75,-0.617739029
0,24,1.28262,103.84487,4,3.36729583,1,18,2.564949357,365,-1.426946289
0,24,1.28354,103.84331,1,4.941642423,2,49,2.564949357,176,-2.391289824
0,11,1.3155,103.88596,2,4.442651256,14,65,4.304065093,16,-1.031237702
0,29,1.29533,103.83797,2,5.010635294,2,249,3.871201011,301,-0.581950907
4,9,1.29798,103.7668,1,3.80666249,2,3,0,0,0.633501348
0,11,1.31379,103.88577,2,4.543294782,4,26,4.304065093,90,-0.835919048
0,30,1.30376,103.85923,1,4.043051268,1,20,1.945910149,25,-0.785075667
0,30,1.30171,103.85959,1,4.48863637,1,6,1.945910149,25,-0.951368661
0,15,1.31083,103.858,1,4.248495242,60,8,1.791759469,90,-0.77999705
0,29,1.29597,103.8382,2,4.927253685,1,72,3.871201011,365,-0.725184795
4,14,1.34187,103.71115,1,3.912023005,2,0,0,0,-0.403329212
0,6,1.32986,103.81297,1,5.003946306,90,26,1.098612289,90,-0.265980164
0,11,1.31586,103.88559,2,4.48863637,5,81,4.304065093,45,-1.18170396
0,11,1.31565,103.88576,2,4.553876892,7,65,4.304065093,86,-1.106857147
